Decay_0.5,Decay_0.25,Decay_0,Decay_1,num_nodes,optimal
19.1044921875,6.6434729099,20,16.8333333333,3,0
9.3701171875,2.1510412693,3,17.1666666667,5,0
14.9482421875,5.4745275974,20,16.8333333333,4,0
19.9951171875,6.6666662693,20,20,8,0
10.8403320312,5.1463676691,20,4.5,3,0
19.4638671875,6.6500647068,20,18.5833333333,8,0
19.9951171875,6.6666662693,20,20,4,0
7.0810546875,1.595438242,1,12.0833333333,4,0
19.9951171875,6.6666662693,20,20,5,0
19.9951171875,6.6666662693,20,20,4,0
1.8247070313,0.6498161554,2,1.5833333333,4,1
2.0407714844,0.5940182805,2,4.5,4,0
17.8078613281,6.4009551406,20,12.9166666667,7,0
5.7563476563,1.5208382607,1,4.25,5,0
7.9763183594,1.6194050908,1,8.9166666667,3,0
19.9951171875,6.6666662693,20,20,6,0
4.8120117188,9.65E-001,2,5,10,0
10.9951171875,2.1666662693,2,18.5,5,0
19.9951171875,6.6666662693,20,20,4,0
1.8564453125,0.6461470127,2,7.5,5,0
19.9951171875,6.6666662693,20,20,9,0
14.892578125,5.4744369984,20,13.6666666667,4,0
1.0090332031,0.3333378434,1,2.5833333333,4,0
19.9951171875,6.6666662693,20,20,6,0
19.0952148438,6.64346838,20,15.25,4,0
